region,hms,dms,angle,angle_arcsec,area_arcsec,sum,surfbri,surferr
reg10_08_1659,36:08.5,+45:16:59.844,0.0188,67.5961,124.72,6652.7776,53.3417,0.654
reg13_08_1642,36:08.4,+45:16:42.296,0.0188,67.5961,56.76,3312.0117,58.3512,1.0139
reg4_08_1725,36:08.7,+45:17:25.363,0.0188,67.5961,53.64,3316.1567,61.8225,1.0736
reg12_03_1649,36:03.4,+45:16:49.593,0.0188,67.5961,90.04,6026.3294,66.9295,0.8622
reg6_09_1721,36:09.6,+45:17:21.400,0.0188,67.5961,53.24,3690.148,69.3116,1.141
reg5_07_1727,36:06.9,+45:17:27.819,0.0188,67.5961,52.64,4196.1691,79.7145,1.2306
reg8_06_1718,36:06.0,+45:17:18.639,0.0188,67.5961,56.08,4620.5238,82.3917,1.2121
reg14_07_1640,36:07.2,+45:16:40.341,0.0188,67.5961,42.24,4049.6599,95.8726,1.5066
reg11_07_1651,36:07.7,+45:16:51.000,0.0188,67.5961,70.4,7326.7804,104.074,1.2159
reg2_05_1743,36:05.7,+45:17:43.496,0.0188,67.5961,14.28,1552.7706,108.737,2.7595
reg7_07_1720,36:07.5,+45:17:20.831,0.0188,67.5961,126.4,13882.106,109.827,0.9321
reg11_05_1635,36:05.9,+45:16:35.325,0.0188,67.5961,77.84,5316.8241,68.3045,0.936749
reg1_07_1737,36:07.0,+45:17:37.343,0.0188,67.5961,75.6,8884.0687,117.514,1.2468
reg3_05_1740,36:05.7,+45:17:40.334,0.0188,67.5961,26.32,5182.5055,196.904,2.7352
reg16_05_1639,36:05.9,+45:16:39.133,0.0006,2.3148,16.96,4273.511,251.976,3.8545
reg11_05_1641,36:05.9,+45:16:41.900,0.0188,67.5961,74.84,8943.558,119.502,1.26363
reg11_06_1652,36:06.4,+45:16:52.502,0.0188,67.5961,125.52,18103.762,144.23,1.07194
reg_11_05_1657,36:05.5,+45:16:57.741,0.0188,67.5961,4.44,9365.6088,2109.37,21.7964
reg_11_05_1702,36:05.8,+45:17:02.011,0.0188,67.5961,25.72,92351.124,3590.64,11.8154
reg_11_06_1659,36:06.3,+45:16:59.188,0.0188,67.5961,1.32,1950.7027,1477.81,33.4597
reg_11_06_1704_2,36:06.3,+45:17:04.718,0.0188,67.5961,2.24,4077.0552,1820.11,28.5053
reg_11_06_1704,36:06.6,+45:17:04.049,0.0188,67.5961,91.8,53675.734,584.703,2.52375
reg_11_05_1707,36:06.9,+45:17:07.887,0.0188,67.5961,107.6,70164.282,652.084,2.46176
reg_11_05_1707_2,36:05.1,+45:17:07.361,0.0188,67.5961,43.8,7200.6025,164.397,1.93736